EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,Date_of_Joining,OverTime,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,PerformanceRating,Onboarding_Status,Attrition
EMP00012,45,Female,Specialist,Customer Service Representative,High School,3154.16,50,400,21007,2018-08-31,Yes,7.7,5,4,2,3,3,3,5,3,Completed,No
EMP00013,40,Male,Operations,Cashier,Associate's Degree,1967.35,29,206,17409,2017-05-21,Yes,9.0,0,9,8,3,3,3,2,3,Completed,No
EMP00014,35,Female,Operations,Sales Associate,High School,2476.95,41,337,5435,2015-05-27,Yes,11.0,11,4,4,3,3,3,2,3,Completed,No
EMP00015,26,Female,Operations,Cashier,Associate's Degree,2159.05,25,196,17678,2019-10-26,No,6.6,2,0,2,3,,2,3,2,Completed,No
EMP00016,23,Female,Operations,Sales Associate,High School,3131.19,27,274,12478,2016-02-20,No,10.3,1,3,1,2,4,3,3,2,In Progress,No
EMP00017,36,Female,Operations,Cashier,Associate's Degree,2409.24,31,238,7191,2015-01-10,Yes,11.4,5,6,0,3,3,4,2,4,Completed,No
EMP00018,47,Male,Operations,Sales Associate,Bachelor's Degree,2621.33,10,80,12598,2020-12-11,Yes,5.5,4,0,5,2,4,3,3,3,Completed,No
EMP00019,34,Male,Operations,Store Manager,High School,7593.04,30,215,13706,2018-01-02,No,8.4,3,1,8,3,1,3,3,4,Completed,No
EMP00020,32,Male,Executive,HR Director,Bachelor's Degree,14491.59,63,486,11352,2022-01-15,No,4.4,1,2,2,3,4,2,3,3,Completed,No
EMP00021,39,Male,Operations,Cashier,Associate's Degree,2223.73,83,708,17070,2023-05-12,Yes,3.0,0,0,0,4,4,2,5,3,Completed,No
EMP00022,19,Male,Executive,Store Manager,Bachelor's Degree,8393.71,33,248,15750,2017-04-01,Yes,9.2,3,4,9,2,4,4,3,3,,No
EMP00023,30,Female,Specialist,Warehouse Associate,Bachelor's Degree,2907.9,52,391,10425,2023-09-11,Yes,2.7,2,2,1,4,4,3,3,3,Completed,No
EMP00024,38,Male,Specialist,Logistics Coordinator,High School,4397.48,59,454,6598,2025-07-09,No,0.9,0,0,0,2,1,4,2,3,Completed,No
EMP00025,42,Female,Finance,Accountant,Bachelor's Degree,4510.84,94,754,17129,2024-05-02,No,2.1,0,2,0,3,4,2,2,3,Completed,No
EMP00026,31,Male,Specialist,IT Support Specialist,Bachelor's Degree,4490.41,26,235,14154,2016-10-12,No,9.6,2,1,8,3,2,3,3,1,Completed,No
EMP00027,37,Female,Operations,Sales Associate,High School,2814.91,41,307,12968,2017-09-28,No,8.7,2,1,6,2,4,2,2,3,Completed,No
EMP00028,36,Female,Operations,Sales Associate,Bachelor's Degree,2677.73,54,457,11230,2023-05-01,No,3.1,0,3,3,1,2,3,2,3,Completed,No
EMP00029,41,Male,Operations,Sales Associate,Master's Degree,3307.24,34,303,23401,2024-07-12,Yes,1.9,0,0,0,1,4,3,3,3,Completed,No
EMP00030,22,Female,Operations,Cashier,Bachelor's Degree,2454.39,55,407,13715,2022-05-29,No,4.0,2,2,1,3,2,4,4,4,Pending,Yes
EMP00031,39,Female,Specialist,Customer Service Representative,High School,3047.47,84,696,14904,2016-03-31,No,10.2,6,9,8,2,3,2,3,3,In Progress,No
EMP00032,18,Male,Operations,Assistant Store Manager,Bachelor's Degree,5094.8,77,631,19033,2024-01-25,Yes,2.3,2,2,0,3,1,3,3,3,Completed,Yes
EMP00033,18,Male,Operations,Sales Associate,Associate's Degree,2824.49,46,402,16995,2024-06-08,No,2.0,2,0,1,4,2,2,4,4,Completed,Yes
EMP00034,27,Female,Specialist,Customer Service Representative,Bachelor's Degree,2708.39,23,168,15157,2025-10-13,No,0.6,0,0,0,4,3,2,6,3,Completed,No
EMP00035,24,Male,Operations,Sales Associate,High School,3113.98,33,274,16197,2022-06-30,No,3.9,2,1,1,4,4,3,3,4,Completed,No
EMP00036,42,Female,Operations,Cashier,Bachelor's Degree,2534.75,10,80,12528,2016-10-03,Yes,9.7,7,7,3,2,4,4,3,2,Completed,No
EMP00037,40,Female,Operations,Sales Associate,Bachelor's Degree,3209.7,36,319,8629,2015-07-30,No,10.8,2,9,6,3,3,3,4,3,Completed,No
EMP00038,21,Male,Operations,Sales Associate,High School,2996.92,45,358,22090,2015-11-20,Yes,10.5,4,1,3,3,3,2,4,3,Completed,No
EMP00039,42,Female,Operations,Cashier,Bachelor's Degree,2464.92,26,222,13176,2018-05-20,No,8.0,5,6,5,4,3,3,6,2,Completed,No
EMP00040,23,Female,Specialist,IT Support Specialist,Associate's Degree,3500,60,452,12007,2025-02-10,Yes,1.3,0,0,1,4,2,3,4,3,In Progress,No
EMP00041,33,Male,Operations,Cashier,Bachelor's Degree,2657.87,27,151,18161,2020-12-03,No,5.5,1,2,5,4,3,4,5,3,Completed,No
EMP00042,31,Male,Finance,Accountant,High School,4134.77,20,154,14386,2020-03-25,No,6.2,6,5,5,4,3,3,2,4,In Progress,No
EMP00043,35,Male,Operations,Cashier,Associate's Degree,2244.0,61,489,16344,2023-08-05,Yes,2.8,0,1,0,4,4,2,2,3,Completed,No
EMP00044,42,Male,Operations,Assistant Store Manager,Associate's Degree,4729.06,76,611,18542,2017-07-22,No,8.9,1,5,8,4,4,1,4,3,Completed,No
EMP00045,40,Male,Operations,Sales Associate,High School,2723.32,54,431,21112,2018-12-09,No,7.5,6,1,0,3,3,3,2,3,Completed,No
EMP00046,37,Male,Specialist,Customer Service Representative,Associate's Degree,2555.2,53,371,15592,2018-04-04,No,8.2,4,5,2,1,4,3,3,1,Completed,No
EMP00047,40,Female,Operations,Sales Associate,Bachelor's Degree,3486.29,40,278,24678,2018-03-02,No,8.2,3,6,5,3,4,2,2,3,Completed,No
EMP00048,38,Male,Finance,Financial Analyst,High School,5293.79,51,388,6243,2024-04-09,Yes,2.1,1,1,1,3,1,3,2,3,Completed,No
EMP00049,27,Male,Operations,Sales Associate,Bachelor's Degree,2821.54,42,340,9644,2019-04-20,Yes,7.1,1,4,7,4,4,4,2,3,Completed,No
EMP00050,26,Male,Operations,Cashier,High School,2548.85,19,136,10926,2016-08-03,Yes,9.8,4,4,7,4,4,2,3,3,Pending,Yes
EMP00051,29,Male,Operations,Cashier,High School,2431.17,30,266,14125,2019-03-16,No,7.2,3,3,6,3,4,3,2,4,Completed,No
EMP00052,38,Male,Operations,Cashier,Bachelor's Degree,2185.43,33,278,15405,2025-12-13,Yes,0.5,0,0,0,3,3,4,2,3,Completed,No
EMP00053,31,Male,Operations,Stocker,Bachelor's Degree,2767.03,54,445,25000,2025-08-09,No,0.8,0,0,0,1,3,4,1,3,Completed,No
EMP00054,57,Male,Operations,Cashier,Bachelor's Degree,2508.17,63,507,25000,2021-11-28,Yes,4.5,3,1,2,3,4,4,2,3,Completed,No
EMP00055,25,Female,Executive,Store Manager,Associate's Degree,8533.35,76,624,18147,2020-01-15,No,6.4,5,3,6,3,3,3,0,3,Completed,No
EMP00056,23,Male,Operations,Sales Associate,Bachelor's Degree,3111.62,26,161,14417,2025-12-17,No,0.4,0,0,0,4,3,4,2,4,Completed,No
EMP00057,41,Female,Finance,Financial Analyst,Bachelor's Degree,5087.87,47,343,10989,2022-06-16,Yes,4.0,1,0,4,2,4,4,3,3,Completed,No
EMP00058,48,Male,Operations,Stocker,High School,2369.38,84,686,18618,2018-02-21,No,8.3,4,4,4,1,4,4,3,4,Completed,Yes
EMP00059,39,Female,Operations,Cashier,Bachelor's Degree,2004.38,56,450,20256,2024-11-02,No,1.6,0,1,0,1,2,4,2,1,In Progress,Yes
EMP00060,42,Female,Operations,Stocker,High School,2495.65,31,245,10084,2015-03-10,No,11.2,10,2,6,3,3,3,2,3,Completed,No
EMP00061,48,Male,Operations,Sales Associate,Associate's Degree,3165.08,35,247,19437,2016-05-09,Yes,10.1,10,1,6,1,4,4,4,2,Completed,No
EMP00062,33,Female,Operations,Sales Associate,Bachelor's Degree,2703.47,55,372,2000,2022-10-05,No,3.6,0,0,0,3,2,2,5,4,Completed,No
EMP00063,19,Male,Operations,Cashier,Bachelor's Degree,2549.98,48,389,19612,2018-07-14,No,7.9,3,7,6,4,4,3,3,3,Completed,No
EMP00064,28,Female,Operations,Cashier,Bachelor's Degree,2511.34,76,575,12760,2016-02-26,No,10.3,9,2,3,1,4,3,4,3,Completed,No
EMP00065,43,Female,Operations,Cashier,Associate's Degree,2649.89,65,552,16905,2020-07-06,No,5.9,4,0,1,2,3,1,2,3,Completed,No
EMP00066,19,Male,Operations,Stocker,High School,2615.41,47,350,12262,2022-02-11,No,4.3,2,4,0,3,2,2,4,1,Completed,Yes
EMP00067,34,Male,Operations,Stocker,Associate's Degree,2480.46,56,495,11479,2016-05-25,No,10.0,5,4,1,4,3,3,2,3,Completed,No
EMP00068,36,Male,Operations,Cashier,High School,2117.88,59,486,17588,2018-04-28,No,8.1,0,8,2,4,2,4,2,3,Completed,No
EMP00069,30,Female,Operations,Sales Associate,High School,3534.23,51,385,10393,2022-10-21,No,3.6,1,1,3,2,2,3,3,3,Completed,Yes
EMP00070,41,Male,Specialist,Customer Service Representative,Bachelor's Degree,3295.59,42,348,18143,2017-05-21,Yes,9.0,3,2,8,2,4,2,3,2,Completed,No
EMP00071,39,Female,Operations,Cashier,Master's Degree,2427.02,25,243,6067,2019-01-10,No,7.4,0,5,5,1,4,3,2,3,Completed,No
EMP00072,57,Female,Specialist,Warehouse Associate,High School,3108.15,70,585,15748,2019-06-20,No,6.9,2,2,6,2,3,2,1,3,Completed,No
EMP00073,40,Male,Specialist,Customer Service Representative,Associate's Degree,2929.11,38,335,14322,2016-09-04,Yes,9.7,1,9,7,3,2,3,2,3,Pending,Yes
EMP00074,27,Female,Operations,Sales Associate,Bachelor's Degree,3314.93,48,370,10562,2020-08-14,No,5.8,0,3,3,4,2,3,0,3,Pending,Yes
EMP00075,28,Female,Operations,Sales Associate,Associate's Degree,2716.93,36,323,11919,2016-10-31,No,9.6,3,9,5,3,3,2,3,3,Completed,Yes
EMP00076,25,Female,Executive,Store Manager,High School,6801.01,24,197,12233,2018-11-18,Yes,7.5,5,1,7,4,3,3,2,4,,Yes
EMP00077,43,Female,Executive,District Manager,Associate's Degree,9107.54,31,247,11386,2024-08-30,No,1.7,1,1,0,1,3,4,3,3,Completed,No
EMP00078,28,Male,Operations,Cashier,Bachelor's Degree,2174.31,29,230,17756,2015-09-30,No,10.7,10,2,9,3,1,3,2,3,Completed,No
EMP00079,33,Female,Specialist,Warehouse Associate,Associate's Degree,3129.97,39,344,11287,2019-01-25,Yes,7.3,4,7,7,3,3,4,3,3,Completed,No
EMP00080,41,Female,Operations,Sales Associate,Master's Degree,,56,431,6334,2024-03-19,No,2.2,0,1,2,4,2,3,2,2,Completed,No
EMP00081,26,Male,Specialist,Customer Service Representative,High School,3011.87,48,358,11630,2018-01-26,No,8.3,5,5,3,3,2,4,3,4,,No
EMP00082,31,Male,Operations,Assistant Store Manager,Bachelor's Degree,4906.15,74,573,14815,2015-03-20,No,11.2,2,8,4,4,4,2,4,4,Completed,No
EMP00083,18,Female,Operations,Sales Associate,Associate's Degree,3404.09,21,185,14847,2021-04-13,Yes,5.1,2,3,1,3,1,3,1,3,Completed,Yes
EMP00084,23,Female,Operations,Sales Associate,Bachelor's Degree,3230.63,73,576,19841,2017-09-12,Yes,8.7,3,6,8,2,1,4,2,3,Completed,Yes
EMP00085,28,Female,Operations,Sales Associate,PhD,3224.55,27,237,3346,2018-11-01,No,7.6,0,3,5,4,1,4,2,2,Completed,No
EMP00086,38,Female,Specialist,Customer Service Representative,Bachelor's Degree,3053.71,57,474,21189,2019-11-11,Yes,6.5,2,4,0,4,4,4,3,3,Completed,No
EMP00087,45,Male,Operations,Cashier,Associate's Degree,2370.62,10,87,10157,2017-06-03,No,9.0,8,6,9,2,4,4,0,3,Completed,No
EMP00088,33,Male,Specialist,Customer Service Representative,Associate's Degree,2630.28,47,396,17994,2015-06-26,Yes,10.9,9,10,3,4,3,3,0,3,Completed,No
EMP00089,36,Male,Finance,Financial Analyst,High School,5430.07,43,331,18011,2023-05-03,No,3.1,1,3,2,4,3,4,2,4,Completed,No
EMP00090,35,Male,Operations,Stocker,PhD,2335.1,70,550,15946,2016-05-08,No,10.1,5,6,1,3,3,4,2,4,In Progress,No
EMP00091,44,Female,Operations,Stocker,Master's Degree,2428.2,23,228,12939,2018-03-08,No,8.2,4,2,0,4,4,3,2,2,Completed,No
EMP00092,42,Male,Executive,Store Manager,High School,10004.68,44,313,12245,2022-01-26,No,4.3,2,1,1,1,3,3,5,3,Completed,No
EMP00093,36,Male,Finance,Financial Analyst,Bachelor's Degree,5389.85,41,325,23645,2022-03-07,Yes,4.2,2,0,4,2,4,4,2,3,Completed,No
EMP00094,23,Female,Finance,Accountant,High School,4789.35,70,587,15682,2018-11-29,No,7.5,6,3,3,4,4,2,2,3,Completed,No
EMP00095,43,Male,Specialist,Customer Service Representative,Bachelor's Degree,3278.48,63,474,21190,2016-02-22,Yes,10.3,10,8,3,2,4,4,2,3,Completed,No
EMP00096,37,Male,Operations,Stocker,High School,2499.73,52,441,8735,2019-07-12,Yes,6.9,6,4,5,3,2,3,1,3,Completed,No
EMP00097,46,Male,Operations,Sales Associate,Bachelor's Degree,2548.84,76,616,10367,2017-12-11,No,8.5,8,3,5,1,3,4,4,3,Completed,No
EMP00098,33,Female,Executive,Store Manager,High School,9796.66,38,304,10235,2025-12-20,Yes,0.4,0,0,0,4,3,2,5,3,Completed,No
EMP00099,53,Female,Operations,Cashier,High School,2351.56,58,464,21320,2021-11-11,No,4.5,0,2,2,4,2,3,3,3,Completed,No
EMP00100,30,Male,Specialist,Customer Service Representative,Associate's Degree,3296.06,51,375,15664,2021-01-14,No,5.4,2,0,5,4,4,1,3,3,Completed,No
EMP00101,49,Male,Operations,Assistant Store Manager,High School,4765.78,50,391,4986,2022-06-28,No,3.9,0,1,1,3,3,1,2,3,In Progress,Yes
EMP00102,35,Female,Operations,Sales Associate,PhD,3245.64,37,323,23193,2025-01-11,No,1.4,0,0,0,1,4,3,1,3,Completed,No
EMP00103,28,Male,Operations,Cashier,High School,2072.62,32,257,11043,2024-10-03,No,1.7,1,0,1,4,4,4,3,3,Completed,No
EMP00104,22,Female,Operations,Sales Associate,Bachelor's Degree,2738.4,72,520,11295,2020-06-15,Yes,6.0,4,3,4,4,2,3,2,4,Completed,Yes
EMP00105,32,Female,Operations,Sales Associate,High School,3014.74,22,140,12443,2019-08-30,No,6.7,2,2,5,4,3,4,1,4,In Progress,No
EMP00106,48,Female,Specialist,Warehouse Associate,Bachelor's Degree,2933.7,34,271,19051,2020-02-04,No,6.3,3,0,1,3,3,3,3,3,Completed,No
EMP00107,42,Female,Operations,Sales Associate,Master's Degree,3039.27,46,343,15626,2017-12-25,No,8.4,6,4,3,2,3,3,0,3,Completed,No
EMP00108,40,Male,Operations,Assistant Store Manager,Associate's Degree,5210.7,33,220,6104,2019-11-01,No,6.6,0,6,5,3,3,2,5,3,Completed,No
EMP00109,18,Male,Operations,Sales Associate,Bachelor's Degree,2657.43,32,259,11379,2020-09-23,No,5.7,0,5,2,3,4,4,2,4,In Progress,Yes
EMP00110,41,Female,Operations,Cashier,Bachelor's Degree,2504.63,65,555,13681,2018-02-05,Yes,8.3,0,3,3,2,3,4,2,4,Completed,Yes
EMP00111,39,Female,Operations,Sales Associate,High School,3509.95,84,675,16721,2020-02-04,No,6.3,2,1,0,3,4,3,3,3,Completed,No
EMP00112,28,Female,Operations,Sales Associate,Bachelor's Degree,2927.26,56,452,16836,2025-02-25,No,1.3,1,0,1,4,3,2,3,4,Completed,No
EMP00113,27,Male,Finance,Accountant,Associate's Degree,4995.05,49,370,20706,2022-04-28,No,4.1,3,0,4,3,1,3,1,2,Completed,No
EMP00114,33,Female,Operations,Sales Associate,Bachelor's Degree,2967.47,62,552,16189,2021-09-19,No,4.7,2,4,4,3,2,3,2,3,Completed,No
EMP00115,51,Female,Operations,Cashier,Associate's Degree,2676.87,51,458,19524,2021-12-02,No,4.5,3,1,2,1,2,2,5,3,In Progress,Yes
EMP00116,23,Female,Finance,Accountant,High School,4766.48,27,218,11323,2015-07-26,No,10.8,5,2,6,4,4,4,3,3,Completed,No
EMP00117,29,Male,Operations,Sales Associate,High School,2869.78,32,259,12724,2019-07-16,No,6.9,1,1,6,3,1,2,2,3,Completed,Yes
EMP00118,47,Male,Operations,Sales Associate,High School,3494.08,52,395,11637,2024-08-17,No,1.8,0,0,1,4,3,3,1,3,Completed,Yes
EMP00119,29,Male,Operations,Cashier,Associate's Degree,2562.15,31,261,15929,2023-08-24,No,2.8,2,0,0,4,4,4,1,3,In Progress,No
EMP00120,30,Female,Operations,Sales Associate,Master's Degree,2798.79,26,175,10697,2024-05-06,No,2.1,1,0,1,3,4,2,2,3,Completed,Yes
EMP00121,34,Male,Specialist,Warehouse Associate,Bachelor's Degree,3221.51,56,470,17221,2016-06-20,No,9.9,5,4,8,4,3,4,1,3,Completed,No
EMP00122,21,Female,Operations,Stocker,Associate's Degree,2668.03,40,353,16649,2019-03-10,No,7.2,7,6,2,3,4,2,2,2,In Progress,Yes
EMP00123,36,Male,Operations,Sales Associate,Master's Degree,3449.09,63,465,13547,2023-01-16,Yes,3.4,3,2,2,4,3,4,2,3,Completed,No
EMP00124,21,Female,Operations,Stocker,Bachelor's Degree,2659.18,85,671,9212,2023-09-28,No,2.7,2,1,1,4,2,3,3,4,Completed,No
EMP00125,42,Male,Operations,Sales Associate,Bachelor's Degree,2963.65,68,553,15516,2015-10-22,No,10.6,8,10,7,3,1,3,3,3,Pending,No
EMP00126,34,Female,Operations,Sales Associate,Bachelor's Degree,2912.51,64,544,12156,2018-04-07,No,8.1,4,7,5,1,1,1,2,3,Completed,Yes
EMP00127,56,Male,Executive,Store Manager,High School,7575.74,53,394,12927,2019-01-22,Yes,7.4,6,7,2,3,3,3,2,3,Pending,No
EMP00128,36,Female,Operations,Cashier,High School,2209.29,39,333,9609,2021-09-26,No,4.7,3,4,3,2,4,2,1,3,In Progress,No
EMP00129,47,Female,Operations,Stocker,High School,2568.38,88,743,12778,2017-06-07,No,9.0,8,9,0,3,4,2,3,3,Completed,No
EMP00130,20,Male,Specialist,Customer Service Representative,Bachelor's Degree,3008.03,10,80,16429,2023-04-18,No,3.1,0,2,1,4,4,3,0,4,Completed,No
EMP00131,32,Male,Operations,Sales Associate,High School,3003.48,10,121,17141,2024-02-21,No,2.3,0,2,1,4,2,4,1,2,Completed,No
EMP00132,37,Female,Operations,Sales Associate,High School,2707.65,49,371,16436,2024-09-13,No,1.7,1,1,0,3,2,4,2,4,Pending,Yes
EMP00133,51,Female,Operations,Sales Associate,Bachelor's Degree,2880.78,74,617,11625,2015-04-24,No,11.1,7,8,1,4,1,3,3,3,Completed,No
EMP00134,18,Female,Operations,Sales Associate,Bachelor's Degree,2725.66,46,367,16780,2022-01-02,No,4.4,2,0,1,1,4,4,4,2,Completed,No
EMP00135,43,Male,Operations,Sales Associate,Bachelor's Degree,3259.84,43,337,12416,2015-11-05,No,10.6,8,10,0,3,4,3,3,3,Completed,No
EMP00136,39,Male,Finance,Accountant,Bachelor's Degree,4972.93,61,491,11956,2020-09-16,No,5.7,1,0,5,3,3,3,6,3,Completed,No
EMP00137,49,Female,Operations,Sales Associate,Associate's Degree,2473.57,22,188,11352,2025-07-03,No,0.9,0,0,0,2,4,1,5,3,Completed,No
EMP00138,41,Female,Operations,Sales Associate,Bachelor's Degree,,10,100,7876,2024-11-12,No,1.5,1,1,1,3,3,4,3,3,Completed,Yes
EMP00139,34,Female,Specialist,Warehouse Associate,Bachelor's Degree,2615.51,36,250,15610,2018-03-04,No,8.2,4,4,6,4,3,4,4,3,Completed,No
EMP00140,28,Female,Operations,Cashier,Associate's Degree,2258.79,18,202,17773,2025-07-05,No,0.9,0,0,0,4,4,2,2,3,Completed,No
EMP00141,21,Female,Operations,Cashier,Associate's Degree,2124.25,60,456,9346,2024-07-28,No,1.8,1,1,0,3,4,3,2,3,In Progress,No
EMP00142,35,Male,Operations,Cashier,Bachelor's Degree,2152.26,39,277,3287,2022-08-08,Yes,3.8,1,3,1,,3,4,3,3,Completed,No
EMP00143,32,Female,Operations,Sales Associate,High School,2988.55,72,575,20556,2025-06-14,No,1.0,1,1,1,4,4,3,3,3,In Progress,No
EMP00144,54,Female,Specialist,Warehouse Associate,Bachelor's Degree,3181.19,38,295,11213,2020-12-29,No,5.4,2,5,3,3,2,4,2,3,Completed,No
EMP00145,27,Male,Operations,Stocker,Bachelor's Degree,2176.74,19,128,21321,2020-10-11,Yes,5.6,0,2,5,2,3,2,2,3,Completed,No
EMP00146,37,Male,Operations,Cashier,Associate's Degree,2416.39,71,515,17845,2016-10-16,No,9.6,0,4,6,3,3,3,3,3,Completed,No
EMP00147,18,Male,Operations,Cashier,Associate's Degree,2706.49,26,191,25000,2017-11-19,Yes,8.5,6,0,4,3,2,3,4,3,Completed,No
EMP00148,30,Female,Operations,Sales Associate,High School,2816.45,69,611,12132,2016-09-05,Yes,9.7,5,5,1,1,2,3,1,2,Completed,No
EMP00149,36,Female,Specialist,Customer Service Representative,High School,2881.28,41,405,11195,2015-09-27,Yes,10.7,4,8,1,,1,3,2,3,Completed,No
EMP00150,42,Male,Finance,Accountant,Bachelor's Degree,4766.71,43,335,22676,2015-10-27,No,10.6,5,4,9,3,3,2,3,4,Completed,No
EMP00151,48,Male,Operations,Cashier,Bachelor's Degree,2382.29,43,329,13053,2023-04-14,No,3.1,3,0,0,3,3,1,5,3,Completed,No
EMP00152,33,Female,Operations,Cashier,High School,2472.12,39,305,13790,2015-04-04,Yes,11.2,3,11,10,4,3,3,3,3,Completed,Yes
EMP00153,22,Female,Specialist,IT Support Specialist,Master's Degree,4949.46,62,498,23015,2020-07-11,No,5.9,3,4,3,4,4,3,4,3,Completed,No
EMP00154,38,Female,Finance,Accountant,Bachelor's Degree,4149.65,52,410,7061,2025-12-26,No,0.4,0,0,0,3,3,2,2,2,Completed,No
EMP00155,39,Male,Specialist,Customer Service Representative,High School,3237.78,67,526,14299,2015-05-21,No,11.0,7,11,6,4,1,1,3,3,Completed,Yes
EMP00156,38,Female,Operations,Stocker,Bachelor's Degree,2441.01,37,322,7603,2016-06-30,No,9.9,8,2,6,4,4,2,1,3,Completed,No
EMP00157,26,Female,Specialist,Customer Service Representative,High School,2861.43,47,371,8657,2021-01-28,No,5.3,4,4,5,4,2,4,2,3,Completed,No
EMP00158,45,Female,Operations,Cashier,High School,2442.89,49,400,25000,2025-09-20,Yes,0.7,0,0,0,1,4,3,4,3,Pending,No
EMP00159,34,Female,Operations,Sales Associate,Bachelor's Degree,2949.51,39,313,24168,2020-11-10,Yes,5.5,5,2,5,1,,2,2,3,Completed,Yes
EMP00160,40,Male,Operations,Cashier,Bachelor's Degree,2512.0,88,678,14442,2017-08-21,No,8.8,5,3,2,4,2,2,3,2,Completed,No
EMP00161,46,Male,Operations,Cashier,Associate's Degree,2435.28,31,261,18271,2019-09-01,No,6.7,6,5,5,2,3,3,3,2,Completed,No
EMP00162,40,Female,Operations,Cashier,High School,2465.1,69,527,19862,2016-05-17,No,10.0,9,2,8,2,1,4,2,3,Pending,Yes
EMP00163,36,Female,Operations,Cashier,Bachelor's Degree,2312.72,43,376,19238,2023-03-03,No,3.2,3,0,1,4,4,4,3,3,Completed,No
EMP00164,55,Female,Operations,Cashier,High School,2286.69,58,443,12324,2021-07-10,Yes,4.9,3,0,1,3,3,3,4,3,Completed,No
EMP00165,36,Male,Operations,Cashier,High School,2548.56,42,286,13828,2018-07-25,No,7.8,4,3,6,1,4,3,3,3,Completed,No
EMP00166,31,Female,Operations,Sales Associate,High School,2865.49,27,217,15957,2019-05-11,No,7.1,3,5,6,4,3,3,3,4,Completed,No
EMP00167,35,Female,Operations,Cashier,Bachelor's Degree,2409.97,29,230,8945,2024-11-26,No,1.5,1,0,0,1,4,4,2,2,Completed,No
EMP00168,48,Male,Operations,Cashier,Bachelor's Degree,2456.54,52,402,12595,2017-03-24,No,9.2,6,3,7,4,4,2,3,4,Completed,No
EMP00169,35,Female,Operations,Cashier,PhD,2662.42,34,273,10317,2017-07-11,No,8.9,0,7,4,3,3,3,2,4,Completed,No
EMP00170,39,Male,Operations,Store Manager,Bachelor's Degree,10060.05,48,388,13118,2022-10-21,No,3.6,2,1,2,3,3,3,3,2,Completed,No
EMP00171,45,Female,Specialist,Warehouse Associate,Master's Degree,3079.31,49,409,15726,2019-03-19,No,7.2,1,1,5,2,3,4,1,3,Completed,No
EMP00172,28,Male,Operations,Sales Associate,Bachelor's Degree,2700.86,28,202,10016,2017-12-27,No,8.4,5,2,4,2,2,3,3,2,In Progress,No
EMP00173,18,Female,Finance,Accountant,Bachelor's Degree,4418.71,53,415,15221,2018-09-01,Yes,7.7,0,6,3,3,4,3,3,3,Completed,No
EMP00174,36,Female,Operations,Sales Associate,Associate's Degree,2672.21,48,355,15073,2025-06-11,No,1.0,0,0,1,2,3,3,4,3,Completed,No
EMP00175,36,Male,Specialist,Customer Service Representative,Bachelor's Degree,2650.36,56,439,8237,2022-01-31,Yes,4.3,3,3,2,1,2,2,3,3,In Progress,Yes
EMP00176,27,Female,Operations,Sales Associate,Bachelor's Degree,2508.65,25,211,13960,2017-12-11,No,8.5,4,5,0,1,2,2,3,2,Completed,No
EMP00177,42,Male,Finance,Financial Analyst,High School,5425.43,36,359,3170,2021-12-16,Yes,4.5,2,1,1,2,4,2,3,3,Completed,No
